epoch,time,tr_loss,tr_accu,vl_loss,vl_accu,model,tuning_version,dataname,vl_ratio,ts_ratio,shuffle,normalize,i_stt,i_end,X_length,y_length,y_offset,stride_length,criterion,metrics,optimizer,learning_rate,momentum,weight_decay,scheduler,idx,constant,epochs,on,patience,delta,verbose,T_0,T_mult,eta_max,T_up,gamma
1,0.985509634,0.684284519,0.498980978,0.673298097,0.472916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
2,1.705404043,0.62587669,0.498641304,0.613945399,0.472916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
3,2.398259878,0.565887174,0.496942935,0.550280239,0.472916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
4,3.096153259,0.50221166,0.500339674,0.502959283,0.472916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
5,3.790865421,0.449998409,0.500339674,0.468372155,0.472916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
6,4.471427679,0.422476629,0.502038043,0.450273199,0.472916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
7,5.162863016,0.390803423,0.503736413,0.432675833,0.472916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
8,5.851434469,0.369879184,0.5078125,0.411038575,0.472916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
9,6.536465406,0.346333717,0.506793478,0.394231302,0.472916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
10,7.222262144,0.329821991,0.513247283,0.378678611,0.473958333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
11,7.903498173,0.307963144,0.509850543,0.364496196,0.475,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
12,8.593804121,0.287442113,0.507472826,0.349952273,0.473958333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
13,9.281729698,0.269022173,0.507472826,0.336550315,0.477083333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
14,9.968533278,0.26066595,0.510869565,0.334876875,0.475,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
15,10.64936757,0.247473656,0.52173913,0.320283161,0.486458333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
16,11.33532667,0.237272116,0.527173913,0.316164014,0.4875,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
17,12.02840209,0.225740231,0.525475543,0.314776114,0.482291667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
18,12.73112774,0.208860705,0.532269022,0.303688865,0.484375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
19,13.41267824,0.201655759,0.520040761,0.303509744,0.484375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
20,14.08709979,0.189717034,0.522758152,0.298425779,0.486458333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
21,14.77668858,0.186954906,0.538722826,0.29626082,0.488541667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
22,15.46047521,0.173122576,0.528872283,0.297456731,0.486458333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
23,16.11113214,0.175283344,0.53736413,0.303457939,0.4875,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
24,16.7609055,0.16227611,0.541100543,0.287301884,0.492708333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
