epoch,time,tr_loss,tr_accu,vl_loss,vl_accu,model,tuning_version,dataname,vl_ratio,ts_ratio,shuffle,normalize,i_stt,i_end,X_length,y_length,y_offset,stride_length,criterion,metrics,optimizer,learning_rate,weight_decay,scheduler,step_size,gamma,epochs
1,0.31416821479797363,0.6805836766599173,0.5207078313253012,0.6592083242204454,0.48726851851851855,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
2,0.6261687278747559,0.5913063883781433,0.504894578313253,0.6304812983230308,0.48842592592592593,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
3,0.9412033557891846,0.4933883289256728,0.4864457831325301,0.6014864102557853,0.4849537037037037,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
4,1.2593727111816406,0.38442681999091644,0.4713855421686747,0.5651111017774653,0.48726851851851855,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
5,1.57122802734375,0.2885743490902774,0.4585843373493976,0.5575660058745632,0.4988425925925926,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
6,1.8847153186798096,0.20279625892998224,0.44691265060240964,0.5908954805798001,0.4618055555555556,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
7,2.201443910598755,0.1453502807452018,0.42582831325301207,0.5976669368920503,0.45601851851851855,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
8,2.5190296173095703,0.09686836465654602,0.40248493975903615,0.6495962970786624,0.45949074074074076,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
9,2.838405132293701,0.06990087214094329,0.3930722891566265,0.6502207793571331,0.43287037037037035,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
10,3.1602377891540527,0.0503257998904909,0.39006024096385544,0.6835399788838846,0.4270833333333333,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
11,3.476771831512451,0.04926766459661794,0.3859186746987952,0.7229985683052628,0.4479166666666667,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
12,3.802130937576294,0.05160285364163209,0.39231927710843373,0.8630227744579315,0.4340277777777778,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
13,4.1396803855896,0.05769405544297882,0.3855421686746988,0.7929357742821729,0.43287037037037035,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
14,4.487233400344849,0.04296062974797853,0.37198795180722893,0.7725757219725184,0.4236111111111111,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
15,4.821011543273926,0.03426838459177728,0.375,0.8652866173673559,0.4398148148148148,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
16,5.169030666351318,0.022647986306348837,0.38968373493975905,0.7812107061898267,0.4363425925925926,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
17,5.487087726593018,0.01629061576298786,0.3757530120481928,0.8237649334801568,0.4224537037037037,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
18,5.805192947387695,0.016613656920044267,0.3723644578313253,0.8777263054141292,0.43171296296296297,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
19,6.117715120315552,0.011148587654692581,0.37801204819277107,0.8555182351006402,0.4351851851851852,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
20,6.434679985046387,0.007596419077837862,0.3776355421686747,0.8629249555093271,0.44328703703703703,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
21,6.750168800354004,0.005386548062101994,0.3561746987951807,0.8367877977865713,0.4351851851851852,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
22,7.068928241729736,0.004035058401872864,0.36031626506024095,0.872543580002255,0.4363425925925926,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
23,7.386094808578491,0.0022141619708882757,0.3674698795180723,0.8733865557997315,0.43287037037037035,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
24,7.700802803039551,0.0014274281590576675,0.3625753012048193,0.8639603958085731,0.4340277777777778,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
25,8.015623569488525,0.001017140042589394,0.35918674698795183,0.8657927226137232,0.4340277777777778,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
26,8.32888388633728,0.0008627511687150382,0.3640813253012048,0.8695472186362302,0.43171296296296297,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
27,8.647361755371094,0.0007597354671311935,0.3625753012048193,0.8729686416961528,0.43171296296296297,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
28,8.967819213867188,0.0006794749260515379,0.36106927710843373,0.8763929864874592,0.43171296296296297,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
29,9.28624963760376,0.0006146584896943027,0.36332831325301207,0.8806764157833876,0.43171296296296297,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
30,9.601547241210938,0.0005592085860798651,0.3640813253012048,0.8845382112043875,0.43287037037037035,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
31,9.89928126335144,0.0005119327976121511,0.3621987951807229,0.8884675392398128,0.43171296296296297,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
32,10.218756198883057,0.00047084479277156833,0.3648343373493976,0.8930678086148368,0.43287037037037035,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
33,10.53200912475586,0.00043480616208048064,0.36634036144578314,0.8968843348600246,0.43287037037037035,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
34,10.851207494735718,0.00040285211864365153,0.36521084337349397,0.9009342651676249,0.4340277777777778,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
35,11.16367220878601,0.0003742337039621345,0.36596385542168675,0.9050013991417708,0.4363425925925926,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
36,11.481003522872925,0.00034814549074227734,0.36521084337349397,0.9091543869839774,0.4363425925925926,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
37,11.799691200256348,0.0003248647318911705,0.36596385542168675,0.9128886378473706,0.4375,DNN,v0.08,FordB,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.001,0,StepLR,50,0.001,50
